"Order date","Sold-to Party","Ship-to Party","Customer PO No","Sales Order No","Item","Material No","Material Description","Sales UoM","Order Quantity","Delivery Creation Qty","Order Value","Plant","Item Barcode","Order status"
"20230706","2002921600","2002921601","1355765072","115329432","10","80682909","#########JVD###50#","CS","1","1","447.89","A680","6.90315E+12","50"
"20230706","2002921600","2003190193","1355764981","115329365","10","80682909","#########JVD###50#","CS","3","3","1,343.67","A680","6.90315E+12","30"
"20230706","2002921603","2002941103","1355764648","115329613","20","80682909","#########JVD###50#","CS","6","6","2,687.34","A668","6.90315E+12","30"
"20230706","2002920557","2002921480","1355765114","115329319","20","80682909","#########JVD###50#","CS","1","1","447.89","A672","6.90315E+12","30"
"20230706","2002921582","2002921587","1355764367","115329591","20","80682909","#########JVD###50#","CS","10","10","4,478.90","C816","6.90315E+12","50"
"20230706","2002921582","2002921590","1355765234","115329551","20","80682909","#########JVD###50#","CS","5","5","2,239.45","C816","6.90315E+12","30"
"20230706","2002921582","2003237263","1355765810","115329505","20","80682909","#########JVD###50#","CS","2","2","895.78","C816","6.90315E+12","50"
"20230706","2002921577","2002921598","1355765717","115329263","20","80682909","#########JVD###50#","CS","2","2","895.78","A673","6.90315E+12","40"
"20230706","2002921577","2002942308","1355765976","115329479","10","80682909","#########JVD###50#","CS","4","4","1,791.56","A673","6.90315E+12","50"
"20230706","2002921600","2002921601","1355765066","115329373","10","80683081","##############50#","CS","40","40","12,268.00","A680","6.90315E+12","50"
"20230706","2002921600","2003190193","1355764982","115329396","10","80683081","##############50#","CS","16","16","4,907.20","A680","6.90315E+12","30"
"20230706","2002921600","2003224920","1355765322","115329444","10","80683081","##############50#","CS","23","23","7,054.10","A680","6.90315E+12","30"
"20230706","2002921600","2003224920","1355779156","115329477","10","80683081","##############50#","CS","68","68","20,855.60","A680","6.90315E+12","30"
"20230706","2002921607","2002921675","1355763792","115329407","10","80683081","##############50#","CS","5","5","1,533.50","A715","6.90315E+12","30"
"20230706","2002921607","2002921675","1355780268","115330042","10","80683081","##############50#","CS","45","0","0","A715","6.90315E+12","30"
"20230706","2002921607","2002930241","1355764150","115329442","20","80683081","##############50#","CS","10","4","1,226.80","A715","6.90315E+12","50"
"20230706","2002921607","2002930241","1355779033","115329958","10","80683081","##############50#","CS","60","0","0","A715","6.90315E+12","50"
"20230706","2002921611","2002941153","1355779054","115329621","20","80683081","##############50#","CS","100","58","17,788.60","A716","6.90315E+12","30"
"20230706","2002920557","2002921480","1355765112","115329363","10","80683081","##############50#","CS","29","29","8,894.30","A672","6.90315E+12","30"
"20230706","2002920557","2002921482","1355766171","115329264","10","80683081","##############50#","CS","24","24","7,360.80","A672","6.90315E+12","30"
"20230706","2002920557","2003213268","1355764806","115329313","10","80683081","##############50#","CS","44","44","13,494.80","A672","6.90315E+12","30"
"20230706","2002920557","2003213268","1355778886","115329377","10","80683081","##############50#","CS","23","23","7,054.10","A672","6.90315E+12","30"
"20230706","2002920557","2003222613","1355765578","115329282","10","80683081","##############50#","CS","2","2","613.42","A672","6.90315E+12","30"
"20230706","2002920557","2003222613","1355778922","115329361","10","80683081","##############50#","CS","38","38","11,654.60","A672","6.90315E+12","30"
"20230706","2002921582","2002921587","1355764346","115329406","10","80683081","##############50#","CS","11","11","3,373.70","C816","6.90315E+12","50"
"20230706","2002921582","2002921587","1355779984","115329688","20","80683081","##############50#","CS","60","60","18,402.00","C816","6.90315E+12","50"
"20230706","2002921582","2002921589","1355779651","115329689","10","80683081","##############50#","CS","27","27","8,280.90","A888","6.90315E+12","30"
"20230706","2002921582","2003237263","1355765818","115329426","10","80683081","##############50#","CS","19","19","5,827.30","C816","6.90315E+12","50"
"20230706","2002921577","2002921598","1355778443","115330101","10","80683081","##############50#","CS","98","98","30,056.60","A673","6.90315E+12","30"
"20230706","2002921600","2002921601","1355765054","115329410","30","80683082","##############42#","CS","95","95","29,136.50","A680","6.90315E+12","50"
