VBELN,POSNR,MATNR,KDMAT
0115347690,1760,000000000080696555,80696555
0115347690,1770,000000000080702686,80702686
0115347690,1771,000000000080702686,80702686
0115347690,1780,000000000080733191,80733191
0115347690,1790,000000000080709916,80709916
0115347690,1791,000000000080709916,80709916
0115347690,1800,000000000080709919,80709919
0115347690,1801,000000000080709919,80709919
0115347690,1810,000000000080709920,80709920
0115347690,1811,000000000080709920,80709920
0115347690,1820,000000000080709918,80709918
0115347690,1821,000000000080709918,80709918
0115347690,1830,000000000080726539,80726539
0115347690,1831,000000000080726539,80726539
0115347690,1840,000000000080733187,80733187
0115347690,1850,000000000080737421,80737421
0115347690,1860,000000000080733234,80733234
0115347690,1870,000000000080736039,80736039
0115347690,1880,000000000080690289,80690289
0115347690,1881,000000000080690289,80690289
0115347690,1890,000000000080745227,80745227
0115347690,1900,000000000080710409,80710409
0115347690,1910,000000000080710410,80710410
0115347690,1920,000000000080684726,80684726
0115347690,1930,000000000080714622,80714622
0115347690,1940,000000000080696313,80696313
0115347690,1950,000000000082293547,82293547
0115347690,1951,000000000082293547,82293547
0115347690,1960,000000000080713979,80713979
0115347690,1970,000000000082325536,82325536
0115347690,1971,000000000082325536,82325536
0115347690,1980,000000000080741550,80741550
0115347690,1990,000000000080717301,80717301
0115347690,2000,000000000080738392,80738392
0115347690,2010,000000000080684706,80684706
0115347690,2020,000000000082170042,82170042
0115347690,2030,000000000080738396,80738396
0115347690,2040,000000000080757909,80757909
0115347690,2050,000000000080686701,80686701
0115347690,2051,000000000080686701,80686701
0115347690,2060,000000000080742605,80742605
0115347690,2070,000000000082323477,82323477
0115347691,10,000000000080696312,80696312
0115347691,20,000000000080714240,80714240
0115347691,21,000000000080714240,80714240
0115347691,30,000000000080718535,80718535
0115347691,40,000000000082276368,82276368
0115347691,50,000000000080754036,80754036
0115347691,60,000000000080754034,80754034
0115347691,70,000000000080725845,80725845
0115347691,71,000000000080725845,80725845
0115347691,80,000000000080726352,80726352
0115347691,81,000000000080726352,80726352
0115347691,90,000000000080713973,80713973
0115347691,100,000000000080713972,80713972
0115347691,110,000000000080713974,80713974
0115347691,120,000000000080713975,80713975
0115347691,130,000000000080713979,80713979
0115347691,140,000000000080713976,80713976
0115347691,150,000000000080745943,80745943
0115347691,160,000000000080745946,80745946
0115347691,170,000000000080745944,80745944
0115347691,180,000000000080751313,80751313
0115347691,190,000000000080751314,80751314
0115347691,200,000000000080751315,80751315
0115347691,210,000000000082325543,82325543
0115347691,211,000000000082325543,82325543
0115347691,220,000000000080725122,80725122
0115347691,230,000000000080751780,80751780
0115347691,240,000000000080751770,80751770
0115347691,250,000000000080725127,80725127
0115347691,260,000000000080725125,80725125
0115347691,270,000000000080741548,80741548
0115347691,280,000000000080741553,80741553
0115347691,290,000000000080721760,80721760
0115347691,300,000000000082325519,82325519
0115347691,301,000000000082325519,82325519
0115347691,310,000000000082325522,82325522
0115347691,311,000000000082325522,82325522
0115347691,320,000000000080745853,80745853
0115347691,330,000000000080721761,80721761
0115347691,340,000000000080742026,80742026
0115347691,350,000000000082325565,82325565
0115347691,351,000000000082325565,82325565
0115347691,360,000000000080725623,80725623
0115347691,370,000000000080725624,80725624
0115347691,380,000000000080725625,80725625
0115347691,390,000000000080725626,80725626
0115347691,400,000000000080738483,80738483
0115347691,410,000000000080745954,80745954
0115347691,420,000000000080745953,80745953
0115347691,430,000000000080752309,80752309
0115347691,440,000000000080745952,80745952
0115347691,450,000000000080740618,80740618
0115347691,460,000000000080740760,80740760
0115347691,470,000000000080752307,80752307
0115347691,480,000000000080703933,80703933
0115347691,490,000000000080703934,80703934
0115347691,500,000000000080701282,80701282
0115347691,510,000000000080701283,80701283
0115347691,520,000000000080701425,80701425
0115347691,530,000000000080701426,80701426
0115347691,540,000000000080751536,80751536
0115347691,550,000000000080717305,80717305
0115347691,560,000000000080717307,80717307
0115347691,570,000000000080693827,80693827
0115347691,571,000000000080693827,80693827
0115347691,580,000000000080721963,80721963
0115347691,590,000000000080721969,80721969
0115347691,600,000000000080721991,80721991
0115347691,610,000000000080693844,80693844
0115347691,611,000000000080693844,80693844
0115347691,620,000000000080693850,80693850
0115347691,621,000000000080693850,80693850
0115347691,630,000000000080694111,80694111
0115347691,631,000000000080694111,80694111
0115347691,640,000000000080721965,80721965
0115347691,650,000000000080694114,80694114
0115347691,651,000000000080694114,80694114
0115347691,660,000000000080694119,80694119
0115347691,661,000000000080694119,80694119
0115347691,670,000000000080717297,80717297
0115347691,680,000000000080764967,80764967
0115347691,690,000000000080764965,80764965
0115347691,700,000000000080764966,80764966
0115347691,710,000000000080758005,80758005
0115347691,720,000000000080736221,80736221
0115347691,730,000000000080721990,80721990
0115347691,740,000000000080717308,80717308
0115347691,750,000000000080738843,80738843
0115347691,760,000000000080744720,80744720
0115347691,770,000000000082324239,82324239
0115347691,771,000000000082324239,82324239
0115347691,780,000000000082322920,82322920
0115347691,781,000000000082322920,82322920
0115347691,790,000000000080695956,80695956
0115347691,800,000000000080695960,80695960
0115347691,810,000000000080695959,80695959
0115347691,820,000000000080693628,80693628
0115347691,830,000000000080752457,80752457
0115347691,840,000000000083739445,83739445
0115347691,841,000000000083739445,83739445
0115347691,850,000000000080707897,80707897
0115347691,860,000000000080738392,80738392
0115347691,870,000000000080735139,80735139
0115347691,880,000000000080735140,80735140
0115347691,890,000000000080684708,80684708
0115347691,900,000000000080684706,80684706
0115347691,910,000000000080698212,80698212
0115347691,920,000000000080698858,80698858
0115347691,930,000000000082170042,82170042
0115347691,940,000000000082276751,82276751
0115347691,950,000000000082276748,82276748
0115347691,960,000000000082276750,82276750
0115347691,970,000000000082297058,82297058
0115347691,980,000000000080707789,80707789
0115347691,990,000000000082289667,82289667
0115347691,991,000000000082289667,82289667
0115347691,1000,000000000082289668,82289668
0115347691,1001,000000000082289668,82289668
0115347691,1010,000000000082289666,82289666
0115347691,1011,000000000082289666,82289666
0115347691,1020,000000000080741457,80741457
0115347691,1030,000000000082326936,82326936
0115347691,1031,000000000082326936,82326936
0115347691,1040,000000000080715460,80715460
0115347691,1041,000000000080715460,80715460
0115347691,1050,000000000080736982,80736982
0115347691,1051,000000000080736982,80736982
0115347691,1060,000000000082326900,82326900
0115347691,1061,000000000082326900,82326900
0115347691,1070,000000000082326899,82326899
0115347691,1071,000000000082326899,82326899
0115347691,1080,000000000080741469,80741469
0115347691,1090,000000000080741463,80741463
0115347691,1100,000000000080741470,80741470
0115347691,1110,000000000082326898,82326898
0115347691,1111,000000000082326898,82326898
0115347691,1120,000000000082326945,82326945
0115347691,1121,000000000082326945,82326945
0115347691,1130,000000000080727511,80727511
0115347691,1131,000000000080727511,80727511
0115347691,1140,000000000082326949,82326949
0115347691,1150,000000000082326891,82326891
0115347691,1160,000000000082326875,82326875
0115347691,1161,000000000082326875,82326875
0115347691,1170,000000000080702896,80702896
0115347691,1180,000000000080710509,80710509
0115347691,1190,000000000080710502,80710502
0115347691,1200,000000000080710499,80710499
0115347691,1210,000000000080750976,80750976
0115347691,1220,000000000080737744,80737744
0115347691,1230,000000000080722535,80722535
0115347691,1240,000000000080708708,80708708
0115347691,1250,000000000080738394,80738394
0115347691,1260,000000000080691388,80691388
0115347691,1270,000000000080738396,80738396
0115347691,1280,000000000080738611,80738611
0115347691,1290,000000000080691376,80691376
0115347691,1300,000000000082300179,82300179
0115347691,1301,000000000082300179,82300179
0115347691,1310,000000000080738610,80738610
0115347691,1320,000000000080694650,80694650
0115347691,1330,000000000080691426,80691426
0115347691,1340,000000000080739137,80739137
0115347691,1341,000000000080739137,80739137
0115347691,1350,000000000080739141,80739141
0115347691,1360,000000000080739140,80739140
0115347691,1370,000000000080738857,80738857
0115347691,1380,000000000080739139,80739139
0115347691,1381,000000000080739139,80739139
0115347691,1390,000000000080718079,80718079
0115347691,1400,000000000080738859,80738859
0115347691,1410,000000000080691428,80691428
0115347691,1420,000000000080691429,80691429
0115347691,1430,000000000080708710,80708710
0115347691,1440,000000000080740683,80740683
0115347691,1450,000000000080691380,80691380
0115347691,1460,000000000082315678,82315678
0115347691,1461,000000000082315678,82315678
0115347691,1470,000000000080720847,80720847
0115347691,1480,000000000080720846,80720846
0115347691,1490,000000000080757909,80757909
0115347691,1500,000000000080745856,80745856
0115347691,1510,000000000080730540,80730540
0115347691,1511,000000000080730540,80730540
0115347691,1520,000000000080686700,80686700
0115347691,1521,000000000080686700,80686700
0115347691,1530,000000000080686710,80686710
0115347691,1531,000000000080686710,80686710
0115347691,1540,000000000080686723,80686723
0115347691,1541,000000000080686723,80686723
0115347691,1550,000000000080752128,80752128
0115347691,1560,000000000080685110,80685110
0115347691,1561,000000000080685110,80685110
